iter	Passed	Remaining
988	82049	83874
989	82144	83803
990	82222	83716
991	82300	83627
992	82389	83551
993	82481	83477
994	82580	83410
995	82662	83326
996	82756	83254
997	82860	83192
998	82978	83144
999	83091	83091
1000	83205	83039
1001	83309	82977
1002	83409	82910
1003	83525	82860
1004	83619	82787
1005	83720	82721
1006	83811	82646
1007	83894	82562
1008	83988	82489
1009	84107	82442
1010	84346	82511
1011	84564	82558
1012	84677	82503
1013	84767	82426
1014	84858	82349
1015	84955	82279
1016	85049	82205
1017	85143	82132
1018	85241	82063
1019	85338	81991
1020	85429	81915
1021	85527	81845
1022	85639	81789
1023	85733	81714
1024	85838	81651
1025	85941	81585
1026	86050	81525
1027	86147	81454
1028	86232	81372
1029	86317	81289
1030	86404	81208
1031	86503	81138
1032	86611	81077
1033	86718	81015
1034	86814	80942
1035	86917	80877
1036	87030	80820
1037	87148	80768
1038	87249	80699
1039	87343	80624
1040	87435	80548
1041	87534	80477
1042	87649	80422
1043	87763	80365
1044	87866	80298
1045	87979	80241
1046	88078	80170
1047	88190	80112
1048	88280	80033
1049	88385	79967
1050	88491	79902
1051	88587	79829
1052	88681	79754
1053	88832	79729
1054	88993	79714
1055	89108	79657
1056	89218	79596
1057	89335	79540
1058	89434	79469
1059	89640	79492
1060	89834	79504
1061	89939	79438
1062	90028	79357
1063	90134	79291
1064	90285	79265
1065	90388	79195
1066	90494	79129
1067	90589	79053
1068	90744	79030
1069	90852	78965
1070	90954	78895
1071	91110	78871
1072	91238	78823
1073	91357	78768
1074	91446	78686
1075	91583	78645
1076	91674	78566
1077	91775	78494
1078	91887	78432
1079	91991	78363
1080	92118	78313
1081	92211	78234
1082	92314	78164
1083	92411	78089
1084	92520	78024
1085	92610	77942
1086	92695	77857
1087	92776	77768
1088	92900	77715
1089	93006	77647
1090	93091	77562
1091	93178	77477
1092	93253	77384
1093	93386	77338
1094	93546	77315
1095	93652	77245
1096	93730	77154
1097	93814	77068
1098	93898	76981
1099	93974	76888
1100	94111	76844
1101	94242	76796
1102	94362	76738
1103	94471	76672
1104	94590	76614
1105	94678	76530
1106	94766	76446
1107	94881	76384
1108	95024	76344
1109	95186	76320
1110	95311	76266
1111	95399	76182
1112	95523	76126
1113	95637	76063
1114	95726	75980
1115	95839	75916
1116	95939	75840
1117	96046	75771
1118	96156	75704
1119	96289	75656
1120	96450	75628
1121	96574	75572
1122	96683	75504
1123	96790	75434
1124	96906	75371
1125	96992	75285
1126	97083	75202
1127	97204	75144
1128	97316	75077
1129	97424	75007
1130	97519	74928
1131	97636	74865
1132	97713	74772
1133	97845	74721
1134	97967	74662
1135	98124	74629
1136	98254	74576
1137	98362	74506
1138	98481	74444
1139	98623	74400
1140	98728	74327
1141	98830	74252
1142	98920	74168
1143	99007	74082
1144	99127	74020
1145	99243	73956
1146	99348	73883
1147	99456	73812
1148	99592	73762
1149	99739	73720
1150	99861	73659
1151	99996	73608
1152	100097	73532
1153	100188	73448
1154	100324	73397
1155	100460	73346
1156	100619	73312
1157	100769	73271
1158	100845	73175
1159	100962	73111
1160	101093	73055
1161	101170	72961
1162	101247	72866
1163	101335	72780
1164	101435	72703
1165	101608	72677
1166	101770	72643
